%,,,,,,,,,,,
M1_atom_number,M2_atom_number,M3_atom_number,Support_ID,M1_mol%,M2_mol%,M3_mol%,Temp,Ar_flow,CH4_flow,O2_flow,CH4_conv
25,11,74,11,40,40,20,775,3,12.8,4.3,26.36
0,0,0,9,0,0,0,850,10.5,3.4,1.1,27.26
25,11,74,11,40,40,20,850,8,8,4,37.49
39,11,74,11,40,40,20,775,6,6,3,30.04
0,0,0,13,0,0,0,900,10.5,3.6,0.9,20.92
25,11,74,8,40,40,20,850,3,11.3,5.7,33.96
25,11,74,5,40,40,20,900,4,4.8,1.2,19.71
0,0,0,8,0,0,0,800,14,5.1,0.9,4.84
0,0,0,6,0,0,0,750,10.5,3.4,1.1,26.63
25,11,74,8,40,40,20,850,6,7.2,1.8,18.37
0,0,0,4,0,0,0,850,3,12.8,4.3,15.35
25,30,42,11,40,40,20,800,7,2,1,35.49
58,11,74,11,40,40,20,750,7,2,1,20.93
25,11,74,13,40,40,20,775,3,11.3,5.7,34.27
63,11,74,11,40,40,20,850,1.5,5.7,2.8,30.9
30,11,74,11,40,40,20,750,7,2.3,0.8,11.75
25,19,42,11,40,40,20,900,3,14.6,2.4,12.61
0,0,0,14,0,0,0,775,14,4.8,1.2,9.78
40,11,74,11,40,40,20,775,10.5,3.4,1.1,17.49
26,11,74,11,40,40,20,750,1.5,6.4,2.1,20.74
60,11,74,11,40,40,20,900,1.5,6.4,2.1,19.83
0,11,74,11,0,67,33,750,3,11.3,5.7,34.52
25,11,74,2,40,40,20,800,10.5,3,1.5,38.14
25,11,42,11,40,40,20,700,3,11.3,5.7,31.33
25,11,74,9,40,40,20,900,4,5.1,0.9,12.51
0,0,0,9,0,0,0,850,2.3,8.5,4.3,33.75
25,11,74,9,40,40,20,775,7,2.3,0.8,31.02
25,19,42,11,40,40,20,850,1.5,6.8,1.7,16.45
30,11,74,11,40,40,20,900,8,10.3,1.7,11.2
25,0,74,11,67,0,33,700,14,4.8,1.2,1.55
0,0,0,2,0,0,0,850,14,5.1,0.9,9.32
25,26,42,11,50,25,25,900,3,13.6,3.4,19.7
23,11,74,11,40,40,20,700,2.3,10.9,1.8,1.34
0,0,0,13,0,0,0,700,10.5,3.4,1.1,8.69
25,11,74,11,40,40,20,750,4,4.5,1.5,27.34
28,11,74,11,40,40,20,800,2.3,10.2,2.6,19.83
23,11,74,11,40,40,20,700,2.3,10.2,2.6,3.65
25,11,74,11,40,40,20,800,6,7.7,1.3,18.88
46,11,74,11,40,40,20,700,8,10.3,1.7,2.94
0,0,0,14,0,0,0,775,10.5,3.9,0.6,8.34
0,0,0,7,0,0,0,700,10.5,3.9,0.6,0.6
25,11,74,2,40,40,20,800,1.5,5.7,2.8,34.36
25,11,74,5,40,40,20,750,14,4,2,16.68
0,0,0,11,0,0,0,850,8,8,4,33.91
25,0,42,11,67,0,33,800,14,5.1,0.9,12.44
0,0,0,14,0,0,0,775,2.3,9.6,3.2,22.52
25,26,42,11,40,40,20,700,4,4.8,1.2,4.26
25,20,74,11,40,40,20,800,6,7.7,1.3,9.76
72,11,74,11,40,40,20,900,6,6,3,33.37
25,11,74,2,40,40,20,850,4,4,2,33.8
25,11,74,11,40,40,20,850,6,6.8,2.3,25.12
25,11,74,6,40,40,20,800,10.5,3.4,1.1,22.47
0,0,0,12,0,0,0,800,7,2.6,0.4,7.84
25,11,74,6,40,40,20,750,8,9.6,2.4,17.26
25,38,74,11,40,40,20,750,4,4.8,1.2,10.26
0,0,0,12,0,0,0,700,6,6.8,2.3,2.19
25,11,74,13,40,40,20,700,10.5,3,1.5,8.42
0,0,0,9,0,0,0,850,3,11.3,5.7,33.53
57,11,74,11,40,40,20,700,1.5,7.3,1.2,3.94
25,11,74,14,40,40,20,800,1.5,7.3,1.2,16.61
40,11,74,11,40,40,20,850,8,9,3,26.89
42,11,74,11,40,40,20,900,1.5,5.7,2.8,31.01
25,56,74,11,40,40,20,775,6,6,3,30.3
0,0,0,6,0,0,0,775,1.5,5.7,2.8,32.28
60,11,74,11,40,40,20,700,7,2.3,0.8,4.27
0,0,0,8,0,0,0,850,3,13.6,3.4,14.93
25,26,42,11,40,40,20,850,3,14.6,2.4,10.22
25,26,42,11,50,25,25,900,7,2.4,0.6,22.97
0,0,0,3,0,0,0,750,7,2,1,34.03
0,0,0,9,0,0,0,775,7,2,1,27
40,11,74,11,40,40,20,750,10.5,3.4,1.1,7.32
23,11,74,11,40,40,20,800,4,4.5,1.5,21.38
0,0,0,14,0,0,0,700,7,2.4,0.6,4.28
23,11,74,11,40,40,20,775,10.5,3.9,0.6,7.08
30,11,74,11,40,40,20,750,1.5,6.8,1.7,16.7
27,11,74,11,40,40,20,900,8,8,4,35.93
60,11,74,11,40,40,20,900,7,2.3,0.8,29.42
25,11,74,4,40,40,20,850,14,4,2,29.69
0,0,0,12,0,0,0,800,14,4.5,1.5,8.3
25,11,74,2,40,40,20,700,4,4.5,1.5,23.4
0,0,0,12,0,0,0,775,8,9,3,9.61
25,11,74,9,40,40,20,700,2.3,9.6,3.2,15
40,11,74,11,40,40,20,750,6,6.8,2.3,18.17
25,11,74,6,40,40,20,850,4,4.8,1.2,18.49
0,11,74,11,0,67,33,850,6,6.8,2.3,22.78
0,11,74,11,0,67,33,900,6,7.7,1.3,8.05
0,11,0,11,0,100,0,800,6,6.8,2.3,14.99
23,11,74,11,40,40,20,775,1.5,7.3,1.2,12.68
22,11,74,11,40,40,20,900,14,4.8,1.2,22.33
0,0,0,3,0,0,0,900,10.5,3.6,0.9,25.07
25,11,74,9,40,40,20,750,10.5,3.4,1.1,27.04
22,11,74,11,40,40,20,775,2.3,8.5,4.3,39.41
25,19,42,11,40,40,20,775,3,14.6,2.4,17.38
25,12,74,11,50,25,25,900,3,14.6,2.4,11.59
57,11,74,11,40,40,20,700,10.5,3.4,1.1,3.41
0,0,0,12,0,0,0,850,4,5.1,0.9,12.13
65,11,74,11,40,40,20,900,3,14.6,2.4,16.94
25,3,42,11,40,40,20,800,4,4.5,1.5,22.78
0,0,0,2,0,0,0,850,14,4.5,1.5,19.44
60,11,74,11,40,40,20,850,6,7.2,1.8,18.53
25,11,74,8,40,40,20,750,2.3,8.5,4.3,32.01
0,0,74,11,0,0,100,700,14,4,2,2.76
25,11,74,5,40,40,20,775,14,5.1,0.9,12.03
0,0,0,9,0,0,0,775,2.3,8.5,4.3,33.57
25,26,42,11,40,40,20,800,7,2.4,0.6,15.5
25,56,74,11,40,40,20,800,8,9,3,20.75
72,11,74,11,40,40,20,750,10.5,3,1.5,10.89
25,11,74,2,40,40,20,750,1.5,5.7,2.8,32.76
0,0,0,10,0,0,0,700,2.3,10.2,2.6,7.24
25,11,74,10,40,40,20,800,14,5.1,0.9,16.8
25,19,42,11,40,40,20,850,7,2,1,38.13
25,11,74,4,40,40,20,900,2.3,10.2,2.6,26.01
28,11,74,11,40,40,20,750,4,4,2,35.17
25,3,74,11,40,40,20,700,3,11.3,5.7,25.91
25,19,42,11,40,40,20,850,2.3,8.5,4.3,34.17
58,11,74,11,40,40,20,700,8,10.3,1.7,1.61
0,0,0,14,0,0,0,700,10.5,3.9,0.6,4.44
25,11,74,4,40,40,20,800,8,10.3,1.7,37.21
29,11,74,11,40,40,20,750,2.3,9.6,3.2,19.23
0,0,0,9,0,0,0,800,10.5,3.4,1.1,17.91
25,11,74,4,40,40,20,700,10.5,3.4,1.1,7.4
25,19,74,11,40,40,20,775,4,5.1,0.9,16.78
25,11,74,14,40,40,20,700,3,12.8,4.3,15.09
0,0,0,10,0,0,0,850,10.5,3.9,0.6,12.67
0,11,0,11,0,100,0,750,6,7.7,1.3,5.33
25,11,74,2,40,40,20,775,3,12.8,4.3,24.33
72,11,74,11,40,40,20,800,8,10.3,1.7,12.12
25,19,42,11,40,40,20,900,10.5,3.4,1.1,26.99
25,38,74,11,40,40,20,750,14,4,2,9.12
22,11,74,11,40,40,20,750,10.5,3.9,0.6,7.86
25,11,74,3,40,40,20,700,14,4,2,5.08
29,11,74,11,40,40,20,775,4,4.5,1.5,20.87
25,11,0,11,50,50,0,775,3,13.6,3.4,13.75
0,11,0,11,0,100,0,775,6,7.7,1.3,3.5
0,0,0,5,0,0,0,750,8,9,3,21.76
25,12,74,11,40,40,20,700,6,6,3,10.79
25,11,74,4,40,40,20,775,14,4.8,1.2,9.66
25,11,74,3,40,40,20,900,14,4.8,1.2,20.75
25,11,74,9,40,40,20,750,3,14.6,2.4,10.71
25,11,74,5,40,40,20,850,2.3,8.5,4.3,34.18
25,11,0,11,50,50,0,750,4,4.8,1.2,10.57
25,3,42,11,40,40,20,700,3,12.8,4.3,5.94
39,11,74,11,40,40,20,800,7,2.4,0.6,18.92
0,0,0,4,0,0,0,750,10.5,3.6,0.9,3.69
0,0,0,2,0,0,0,775,3,12.8,4.3,14.21
63,11,74,11,40,40,20,900,1.5,5.7,2.8,30.51
25,11,74,11,40,40,20,900,8,8,4,36.19
25,56,74,11,40,40,20,750,7,2.6,0.4,2.48
27,11,74,11,40,40,20,700,4,5.1,0.9,3.14
25,11,74,5,40,40,20,750,14,4.8,1.2,9.43
25,11,74,2,40,40,20,700,2.3,9.6,3.2,23.49
0,0,0,7,0,0,0,900,14,5.1,0.9,11.23
29,11,74,11,40,40,20,850,7,2.4,0.6,18.11
25,38,74,11,40,40,20,800,4,4.8,1.2,15.33
57,11,74,11,40,40,20,900,3,11.3,5.7,32.91
25,38,74,11,40,40,20,750,14,5.1,0.9,4.34
25,3,74,11,40,40,20,750,8,8,4,30.05
25,11,74,5,40,40,20,750,4,4.5,1.5,28.33
27,11,74,11,40,40,20,800,4,4,2,34.6
25,11,74,4,40,40,20,850,6,7.2,1.8,18.96
25,30,42,11,40,40,20,850,2.3,8.5,4.3,34.52
25,11,74,12,40,40,20,750,4,4,2,29.15
25,3,74,11,40,40,20,700,8,10.3,1.7,2.97
25,19,42,11,40,40,20,750,3,12.8,4.3,26.36
25,3,42,11,40,40,20,750,3,14.6,2.4,9.02
0,0,0,3,0,0,0,775,1.5,7.3,1.2,11.18
58,11,74,11,40,40,20,850,7,2.3,0.8,25.67
22,11,74,11,40,40,20,850,1.5,7.3,1.2,12.11
25,11,0,11,50,50,0,900,6,7.7,1.3,11.58
39,11,74,11,40,40,20,900,6,7.2,1.8,15.54
46,11,74,11,40,40,20,800,1.5,6.8,1.7,17.55
23,11,74,11,40,40,20,850,4,4,2,31.91
0,11,74,11,0,67,33,800,7,2.6,0.4,18.32
25,11,74,8,40,40,20,775,1.5,6.4,2.1,25.1
0,0,0,9,0,0,0,750,2.3,8.5,4.3,33.7
0,0,0,13,0,0,0,850,4,5.1,0.9,9.98
25,3,74,11,40,40,20,750,2.3,10.9,1.8,8.77
25,38,74,11,40,40,20,775,8,9.6,2.4,13.4
0,0,74,11,0,0,100,800,7,2.4,0.6,12.36
60,11,74,11,40,40,20,850,7,2.4,0.6,20.18
25,11,0,11,50,50,0,800,14,4.5,1.5,13.92
25,20,74,11,40,40,20,800,14,4.5,1.5,18.03
25,11,74,9,40,40,20,800,1.5,6.4,2.1,23.61
25,30,42,11,40,40,20,800,2.3,10.2,2.6,20.03
25,11,74,12,40,40,20,900,1.5,6.8,1.7,17.13
25,11,74,14,40,40,20,800,6,7.7,1.3,16.83
0,0,0,4,0,0,0,750,14,5.1,0.9,32.8
58,11,74,11,40,40,20,700,8,9.6,2.4,2.15
25,11,74,11,40,40,20,900,14,4.8,1.2,21.76
42,11,74,11,40,40,20,775,4,4.8,1.2,17.28
0,0,0,12,0,0,0,750,7,2.3,0.8,24.71
0,0,0,3,0,0,0,775,6,7.7,1.3,8.28
25,11,74,9,40,40,20,700,8,9,3,4.23
57,11,74,11,40,40,20,700,14,4,2,2.55
42,11,74,11,40,40,20,900,14,4,2,41.41
63,11,74,11,40,40,20,800,8,8,4,34.29
25,11,74,14,40,40,20,900,14,4.8,1.2,23.11
0,11,0,11,0,100,0,800,4,4.8,1.2,11.23
25,26,42,11,40,40,20,750,7,2.6,0.4,3.39
60,11,74,11,40,40,20,800,1.5,7.3,1.2,18.56
29,11,74,11,40,40,20,750,6,7.7,1.3,10.62
25,11,74,2,40,40,20,750,4,4.5,1.5,25.91
25,11,0,11,50,50,0,750,4,4.5,1.5,18.47
57,11,74,11,40,40,20,850,3,13.6,3.4,16.85
0,0,0,10,0,0,0,850,14,4.8,1.2,16.14
25,11,74,13,40,40,20,900,2.3,8.5,4.3,30.2
29,11,74,11,40,40,20,700,3,12.8,4.3,7.4
60,11,74,11,40,40,20,900,4,4.5,1.5,23.85
65,11,74,11,40,40,20,750,4,4.5,1.5,18.91
0,0,74,11,0,0,100,700,3,14.6,2.4,1.81
25,20,74,11,40,40,20,700,4,4.8,1.2,3.87
60,11,74,11,40,40,20,775,6,6.8,2.3,21.48
29,11,74,11,40,40,20,850,2.3,10.9,1.8,12.73
25,0,74,11,67,0,33,775,1.5,5.7,2.8,33.61
22,11,74,11,40,40,20,850,4,4.8,1.2,18.01
25,11,74,4,40,40,20,850,8,10.3,1.7,39.02
29,11,74,11,40,40,20,700,8,9,3,4.44
0,0,0,6,0,0,0,750,2.3,10.9,1.8,7.08
25,0,42,11,67,0,33,750,14,4,2,27.33
25,11,74,10,40,40,20,900,4,4.8,1.2,19.14
25,11,74,5,40,40,20,900,2.3,10.2,2.6,14.4
25,19,42,11,40,40,20,850,2.3,9.6,3.2,20.91
25,11,42,11,40,40,20,850,2.3,9.6,3.2,18.13
0,11,0,11,0,100,0,800,6,7.2,1.8,6.43
0,11,0,11,0,100,0,775,7,2,1,10.54
0,0,0,13,0,0,0,850,8,10.3,1.7,9.3
25,26,42,11,40,40,20,750,14,4.8,1.2,4.89
25,0,42,11,67,0,33,800,7,2.4,0.6,15.81
25,3,74,11,40,40,20,750,1.5,6.8,1.7,20.73
25,19,74,11,40,40,20,800,2.3,10.9,1.8,15.81
25,19,42,11,40,40,20,775,3,13.6,3.4,19.67
40,11,74,11,40,40,20,750,1.5,7.3,1.2,13.21
60,11,74,11,40,40,20,775,2.3,9.6,3.2,24.19
25,20,74,11,50,25,25,900,2.3,8.5,4.3,32.1
57,11,74,11,40,40,20,850,10.5,3.6,0.9,24.03
0,0,0,14,0,0,0,775,4,5.1,0.9,9.38
30,11,74,11,40,40,20,750,8,9.6,2.4,4.65
46,11,74,11,40,40,20,775,3,14.6,2.4,11.88
25,11,74,10,40,40,20,775,14,5.1,0.9,9.38
26,11,74,11,40,40,20,800,14,4.5,1.5,17.83
0,11,74,11,0,67,33,850,4,4.8,1.2,17.01
58,11,74,11,40,40,20,850,4,5.1,0.9,11.56
27,11,74,11,40,40,20,700,2.3,8.5,4.3,12
27,11,74,11,40,40,20,775,1.5,5.7,2.8,31.3
25,11,74,13,40,40,20,700,4,4.5,1.5,17.23
0,0,74,11,0,0,100,850,1.5,5.7,2.8,28.54
0,0,0,13,0,0,0,850,2.3,10.9,1.8,8.08
27,11,74,11,40,40,20,900,3,11.3,5.7,33.04
22,11,74,11,40,40,20,800,1.5,7.3,1.2,21.36
25,11,74,9,40,40,20,700,1.5,6.4,2.1,20.32
25,20,74,11,40,40,20,775,7,2,1,23.48
58,11,74,11,40,40,20,900,10.5,3,1.5,40.93
0,0,0,3,0,0,0,700,10.5,3,1.5,1.89
0,0,0,3,0,0,0,900,4,4,2,33.44
72,11,74,11,40,40,20,850,10.5,3.6,0.9,21.88
25,11,74,4,40,40,20,900,1.5,6.4,2.1,24.47
0,0,0,12,0,0,0,900,4,4.8,1.2,17.51
25,3,74,11,40,40,20,900,7,2.4,0.6,24.74
25,11,74,4,40,40,20,900,1.5,5.7,2.8,36.28
0,11,0,11,0,100,0,775,1.5,5.7,2.8,29.18
39,11,74,11,40,40,20,700,14,4.5,1.5,1.97
28,11,74,11,40,40,20,800,1.5,6.4,2.1,22.84
40,11,74,11,40,40,20,750,8,9,3,13.24
60,11,74,11,40,40,20,775,3,14.6,2.4,9.95
0,11,74,11,0,67,33,750,1.5,7.3,1.2,12.07
27,11,74,11,40,40,20,900,4,4.8,1.2,17.62
0,0,0,7,0,0,0,700,8,9.6,2.4,1.26
25,12,74,11,40,40,20,775,8,8,4,34.32
25,30,42,11,40,40,20,750,6,7.7,1.3,4.63
0,0,0,7,0,0,0,750,1.5,6.4,2.1,20.55
0,11,74,11,0,67,33,800,2.3,10.9,1.8,16.09
25,11,74,4,40,40,20,850,2.3,9.6,3.2,20.97
0,0,0,3,0,0,0,750,6,6,3,22.15
60,11,74,11,40,40,20,900,10.5,3.4,1.1,27.48
23,11,74,11,40,40,20,800,4,4.8,1.2,15.67
25,3,42,11,40,40,20,800,4,4.8,1.2,15.88
25,19,74,11,40,40,20,900,1.5,6.8,1.7,16.13
0,11,74,11,0,67,33,700,14,5.1,0.9,2.36
0,0,0,3,0,0,0,700,7,2.3,0.8,2.26
0,0,0,9,0,0,0,850,7,2.3,0.8,29.38
0,0,0,10,0,0,0,775,2.3,10.9,1.8,6.93
0,0,0,3,0,0,0,850,4,4.8,1.2,16.54
65,11,74,11,40,40,20,800,2.3,10.9,1.8,10.86
57,11,74,11,40,40,20,900,2.3,10.2,2.6,14.37
0,11,74,11,0,67,33,900,2.3,10.2,2.6,14.33
30,11,74,11,40,40,20,900,2.3,10.2,2.6,16.2
23,11,74,11,40,40,20,800,1.5,6.8,1.7,18.95
25,3,42,11,40,40,20,900,3,11.3,5.7,35.16
0,11,0,11,0,100,0,700,10.5,3,1.5,2.58
25,12,74,11,40,40,20,850,1.5,7.3,1.2,12.25
40,11,74,11,40,40,20,900,8,10.3,1.7,13.1
72,11,74,11,40,40,20,900,3,14.6,2.4,10.12
0,0,0,6,0,0,0,900,14,4,2,39.73
25,11,74,13,40,40,20,750,7,2.6,0.4,14.22
0,0,0,8,0,0,0,750,14,5.1,0.9,0.86
25,11,74,2,40,40,20,700,14,4.5,1.5,8.68
0,0,0,14,0,0,0,900,3,14.6,2.4,14.88
40,11,74,11,40,40,20,800,2.3,10.9,1.8,19.31
25,11,0,11,50,50,0,775,14,4.5,1.5,7.76
25,19,74,11,40,40,20,850,2.3,8.5,4.3,33.02
22,11,74,11,40,40,20,800,7,2.3,0.8,33.79
57,11,74,11,40,40,20,750,1.5,6.4,2.1,21.62
0,0,0,12,0,0,0,700,7,2,1,0.68
25,11,74,14,40,40,20,775,2.3,8.5,4.3,34.55
25,20,74,11,40,40,20,700,3,11.3,5.7,9.45
25,19,42,11,40,40,20,750,4,5.1,0.9,12.8
25,56,74,11,50,25,25,900,8,8,4,36.47
25,3,74,11,40,40,20,800,1.5,5.7,2.8,33.81
25,30,42,11,40,40,20,800,8,9,3,26.6
57,11,74,11,40,40,20,900,1.5,6.4,2.1,20.43
0,0,74,11,0,0,100,800,1.5,5.7,2.8,34.07
25,38,74,11,40,40,20,800,1.5,7.3,1.2,12.73
25,11,74,8,40,40,20,775,8,9,3,23.09
25,11,74,6,40,40,20,750,1.5,5.7,2.8,33.45
0,0,0,5,0,0,0,900,4,4.8,1.2,18.02
25,11,74,2,40,40,20,775,7,2.6,0.4,12.46
0,11,74,11,0,67,33,750,6,7.7,1.3,11.44
25,38,74,11,40,40,20,700,4,4,2,5.09
30,11,74,11,40,40,20,700,6,6,3,4.22
0,0,0,8,0,0,0,900,10.5,3,1.5,40.45
25,12,74,11,50,25,25,900,8,9,3,24.85
40,11,74,11,40,40,20,700,8,10.3,1.7,1.23
0,0,0,2,0,0,0,800,4,4.5,1.5,22.68
25,20,74,11,50,25,25,900,7,2,1,41.26
0,11,74,11,0,67,33,850,1.5,7.3,1.2,16.29
25,3,74,11,40,40,20,900,10.5,3.6,0.9,22.73
25,0,42,11,67,0,33,750,14,4.8,1.2,13.11
0,0,0,4,0,0,0,700,7,2.3,0.8,1.88
25,56,74,11,50,25,25,900,10.5,3.9,0.6,14.03
25,11,74,10,40,40,20,700,8,8,4,11.87
63,11,74,11,40,40,20,750,8,8,4,13.13
25,3,42,11,40,40,20,750,2.3,9.6,3.2,19.77
0,0,0,2,0,0,0,850,7,2,1,33.14
0,0,0,8,0,0,0,775,7,2.6,0.4,3.95
25,19,42,11,40,40,20,800,3,14.6,2.4,16.9
0,0,74,11,0,0,100,775,6,6,3,27.06
0,0,74,11,0,0,100,900,10.5,3.6,0.9,18.56
46,11,74,11,40,40,20,900,14,4,2,28.96
0,0,0,7,0,0,0,850,14,4.5,1.5,15.1
25,11,74,13,40,40,20,700,6,7.2,1.8,6.13
0,0,0,4,0,0,0,800,3,13.6,3.4,10.29
25,3,74,11,40,40,20,800,3,14.6,2.4,18.32
0,0,0,2,0,0,0,850,1.5,5.7,2.8,35.22
25,11,74,14,40,40,20,900,3,13.6,3.4,16.19
29,11,74,11,40,40,20,750,1.5,5.7,2.8,31.7
23,11,74,11,40,40,20,800,7,2,1,30.95
25,11,74,11,40,40,20,900,6,6,3,36.6
25,0,42,11,67,0,33,700,14,4.5,1.5,6.13
25,38,74,11,50,25,25,900,4,5.1,0.9,12.74
25,11,74,2,40,40,20,850,2.3,10.9,1.8,8.89
25,11,42,11,40,40,20,800,8,9,3,23.22
0,0,0,13,0,0,0,750,8,9.6,2.4,16.56
25,11,74,4,40,40,20,900,4,4,2,37.29
25,11,0,11,50,50,0,750,8,9.6,2.4,7.92
28,11,74,11,40,40,20,900,8,8,4,36
0,0,74,11,0,0,100,850,8,9.6,2.4,14.95
25,3,74,11,40,40,20,800,14,5.1,0.9,13.89
28,11,74,11,40,40,20,775,6,6,3,35.07
0,0,0,4,0,0,0,750,7,2,1,27.57
25,11,74,3,40,40,20,750,2.3,10.2,2.6,15.87
0,0,0,10,0,0,0,750,8,8,4,27.05
0,0,0,12,0,0,0,900,8,9.6,2.4,18.44
25,38,74,11,50,25,25,900,1.5,6.4,2.1,25.31
25,3,74,11,40,40,20,775,14,5.1,0.9,9.47
25,38,74,11,40,40,20,850,3,13.6,3.4,16.21
0,0,74,11,0,0,100,775,1.5,5.7,2.8,28.94
25,11,0,11,50,50,0,700,3,12.8,4.3,3.94
46,11,74,11,40,40,20,750,6,6.8,2.3,15.22
28,11,74,11,40,40,20,750,2.3,9.6,3.2,24.21
25,11,74,8,40,40,20,750,14,4.5,1.5,24.76
29,11,74,11,40,40,20,775,6,6,3,28.55
25,19,42,11,40,40,20,850,10.5,3,1.5,38.77
0,0,74,11,0,0,100,900,7,2.3,0.8,21.72
23,11,74,11,40,40,20,750,2.3,10.9,1.8,3.8
25,20,74,11,40,40,20,700,3,14.6,2.4,2.03
0,11,0,11,0,100,0,700,1.5,6.8,1.7,3.58
25,11,74,8,40,40,20,700,7,2.3,0.8,0.67
0,0,0,8,0,0,0,800,4,4.5,1.5,22.02
25,11,74,12,40,40,20,900,6,6,3,34.68
0,0,0,11,0,0,0,775,8,10.3,1.7,7.65
40,11,74,11,40,40,20,850,8,10.3,1.7,13.21
0,0,0,4,0,0,0,700,14,5.1,0.9,32.27
63,11,74,11,40,40,20,850,4,4.5,1.5,21.42
25,11,74,3,40,40,20,800,7,2.4,0.6,23.59
25,11,74,4,40,40,20,700,7,2.6,0.4,2.97
25,11,42,11,40,40,20,850,2.3,10.2,2.6,14.13
0,0,0,12,0,0,0,900,1.5,7.3,1.2,16.65
25,0,42,11,67,0,33,775,6,7.2,1.8,12.82
25,38,74,11,50,25,25,900,4,4,2,36.11
0,11,0,11,0,100,0,850,14,4.8,1.2,8.79
60,11,74,11,40,40,20,700,8,9.6,2.4,3.23
60,11,74,11,40,40,20,700,8,10.3,1.7,1.19
42,11,74,11,40,40,20,700,14,5.1,0.9,2.33
0,11,74,11,0,67,33,700,8,9,3,4.24
0,0,0,14,0,0,0,900,6,7.7,1.3,13.04
29,11,74,11,40,40,20,800,14,4.8,1.2,13.77
25,20,74,11,40,40,20,750,3,12.8,4.3,14.24
25,11,74,13,40,40,20,750,6,6.8,2.3,22.53
25,3,74,11,40,40,20,775,10.5,3.9,0.6,10.14
0,11,74,11,0,67,33,700,1.5,7.3,1.2,6.95
25,11,74,12,40,40,20,800,2.3,8.5,4.3,34.72
25,30,42,11,50,25,25,900,6,6.8,2.3,26.08
0,0,0,13,0,0,0,775,2.3,10.9,1.8,11.98
26,11,74,11,40,40,20,900,3,12.8,4.3,21.68
72,11,74,11,40,40,20,750,10.5,3.4,1.1,7.84
0,0,0,9,0,0,0,800,3,11.3,5.7,35.49
26,11,74,11,40,40,20,775,1.5,6.4,2.1,23.59
25,0,74,11,67,0,33,900,1.5,6.8,1.7,17.92
28,11,74,11,40,40,20,900,2.3,8.5,4.3,29.23
25,11,74,13,40,40,20,900,14,5.1,0.9,13.6
63,11,74,11,40,40,20,850,8,9,3,21.28
0,0,0,12,0,0,0,700,7,2.4,0.6,1.02
25,11,74,2,40,40,20,800,8,9.6,2.4,18.23
